Plate,Latitude,Longitude,Timestamp,Duration,Distance
BWN768,50.824148333333,4.3598316666667,1561592243,366,1140.6461767629
QCJ420,50.813293333333,4.3480333333333,1561592132,477,821.63526712111
RIY668,50.79478,4.4161016666667,1561592063,837,4117.543493161
BYD553,50.848658333333,4.3933566666667,1561593088,294,1199.3175948111
HIL845,50.832895,4.4411633333333,1561592421,1149,2421.7349267939
QHF380,50.852066666667,4.3509666666667,1561592718,852,2872.3270858288
UUQ477,50.835835,4.3602533333333,1561593501,476,1661.1107559156
QBA575,50.863045,4.3545583333333,1561593685,606,1017.5753404196
SWJ048,50.830476666667,4.3493033333333,1561594038,253,748.79562445743
USV368,50.804301666667,4.3721966666667,1561594112,290,1729.3468273009
